Time,R1,R2,R3,R4,Ave,SD
87.5,823.726,980.86,917.644,963.483,921.42825,70.38178057
88,837.909,981.079,917.49,963.345,924.95575,63.91772789
88.5,845.52,981.305,917.387,963.538,926.9375,60.59549767
89,851.592,981.43,917.238,963.603,928.46575,57.95249182
89.5,856.508,981.583,917.08,963.607,929.6945,55.85058484
90,863.111,981.588,916.924,963.241,931.216,52.93231936
90.5,867.479,981.639,916.577,963.037,932.183,51.08169961
91,870.525,981.527,916.167,962.887,932.7765,49.7807801
91.5,873.952,981.613,915.987,962.646,933.5495,48.36324278
92,876.355,981.685,915.934,962.469,934.11075,47.37657827
92.5,878.863,982.007,915.714,962.221,934.70125,46.45283073
93,880.437,982.159,915.547,961.966,935.02725,45.85002234
93.5,885.965,982.926,915.37,961.761,936.5055,43.94600703
94,890.921,983.513,915.727,961.881,938.0105,42.24631605
94.5,894.804,983.564,916.025,961.888,939.07025,40.7877757
95,897.4 J,983.845,916.201,961.903,953.983,34.51046919
95.5,900.021,983.713,916.251,961.73,940.42875,38.92137118
96,902.879,983.704,916.171,961.652,941.1015,37.94638935
96.5,905.764,984.317,916.071,961.907,942.01475,37.29332829
97,908.27,984.446,916.586,962.225,942.88175,36.47459346
97.5,910.331,984.845,917.01,962.243,943.60725,35.88205552
98,911.824,984.739,917.365,962.053,943.99525,35.26232664
98.5,912.918,984.677,917.519,961.8,944.2285,34.82615667
99,914.644,984.45,917.5 J,961.591,953.5616667,35.58893163
99.5,916.042,984.394,917.285,961.462,944.79575,33.8102785
100,917.394,984.374,917.107,961.254,945.03225,33.43955201
100.5,918.721,984.422,916.847,961,945.2475,33.13118525
101,920.591,984.499,916.623,960.752,945.61625,32.6998005
101.5,921.898,984.248,916.239,960.716,945.77525,32.38256545
102,923.23,984.219,916.089,960.501,946.00975,32.06301817
102.5,924.74,984.182,915.941,960.255,946.2795,31.70850963
103,926.419,984.207,915.766,959.981,946.59325,31.36529794
103.5,927.817,984.061,915.787,959.807,946.868,30.98228597
104,928.709,984.043,915.865,959.528,947.03625,30.73043162
104.5,929.656,983.944,915.77,959.215,947.14625,30.49648636
105,930.445,983.913,915.431,959.103,947.223,30.43858871
