Time,R1,R2,R3,R4,Ave,SD
132,528.909,525.836,543.876,535.584,533.55125,7.996001141
132.5,528.824,525.882,543.8,535.737,533.56075,7.978686332
133,528.788,526.271,543.872,535.825,533.689,7.901529599
133.5,528.729,526.619,543.817,535.896,533.76525,7.789105142
134,528.645,527.119,543.736,536.041,533.88525,7.636030661
134.5,528.643,527.257,543.717,536.073,533.9225,7.590759536
135,528.643,527.191,543.638,536.161,533.90825,7.584792301
135.5,528.563,527.435,543.612,536.768,534.0945,7.586761298
136,528.488,527.546,543.529,537.153,534.179,7.586201201
136.5,528.408,527.93,543.405,537.161,534.226,7.446632483
137,528.362,528.535,543.364,537.268,534.38225,7.290018947
137.5,528.346,529.011,543.609,537.433,534.59975,7.292402593
138,528.281,529.134,543.797,537.746,534.7395,7.398450311
138.5,528.229,529.469,544.078,538.077,534.96325,7.490238375
139,528.124,529.491,544.149,538.415,535.04475,7.59356905
139.5,528.113,529.465,544.059,538.72,535.08925,7.614438319
140,528.062,529.493,544.04,539.098,535.17325,7.678064746
140.5,528.042,529.637,543.938,539.33,535.23675,7.650448239
141,527.998,529.527,543.849,539.764,535.2845,7.738614626
141.5,527.888,529.599,543.811,539.967,535.31625,7.781518677
142,527.88,529.57,543.759,540.217,535.3565,7.823215473
142.5,527.813,529.461,543.748,540.654,535.419,7.960872356
143,527.729,529.608,543.789,540.938,535.516,8.028749301
143.5,527.679,529.549,543.744,541.145,535.52925,8.091324176
144,527.819,529.538,543.734,541.292,535.59575,8.079862886
144.5,527.801,529.54,543.668,541.423,535.608,8.094189233
145,528.106,529.592,543.649,541.42,535.69175,7.976658213
145.5,528.638,529.597,543.619,541.36,535.8035,7.785066153
146,528.874,529.519,543.468,541.37,535.80775,7.686423545
146.5,529.052,529.46,543.382,541.301,535.79875,7.604358898
147,529.184,529.479,543.428,541.343,535.8585,7.585601295
147.5,529.129,529.543,543.525,541.352,535.88725,7.618446227
148,529.148,529.499,543.69,541.418,535.93875,7.69607525
148.5,529.09,529.455,543.924,541.543,536.003,7.83368185
149,529.066,529.361,544.025,541.5,535.988,7.891065116
149.5,529.038,529.383,544.089,541.47,535.995,7.90794651
150,529.007,529.361,544.247,541.435,536.0125,7.969315717
150.5,528.992,529.422,544.266,541.395,536.01875,7.954317963
151,528.967,529.335,544.243,541.414,535.98975,7.982132939
151.5,528.986,529.378,544.115,541.753,536.058,7.999663701
152,528.982,529.501,544.123,541.865,536.11775,7.996149464
