Time,R1,R2,R3,R4,Ave,SD
78.5,860.431,846.409,823.374,836.886,841.775,15.62070649
79,860.867,846.356,824.721,836.802,842.1865,15.27942343
79.5,861.734,846.213,825.472,836.551,842.4925,15.37396376
80,861.854,846.17,826.306,836.41,842.685,15.1354226
80.5,861.68,845.93,827.98,836.159,842.93725,14.49035577
81,862.448,845.69,828.018,836.053,843.05225,14.81183105
81.5,862.068,846.07,828.071,835.93,843.03475,14.67274838
82,861.805,845.726,827.903,835.875,842.82725,14.60165247
82.5,861.688,845.695,827.937,836.107,842.85675,14.50091612
83,861.504,845.42,827.932,836.013,842.71725,14.41986383
83.5,861.199,845.406,828.456,835.924,842.74625,14.12247137
84,861.002,845.541,828.46,836.097,842.775,14.01652827
84.5,860.732,845.227,828.323,836.671,842.73825,13.83931442
85,860.771,845.08,828.11,836.531,842.623,13.94186006
85.5,861.158,844.898,828.205,836.388,842.66225,14.08864362
86,861.062,844.677,828.02,836.626,842.59625,14.06442786
86.5,861.153,844.435,827.808,836.475,842.46775,14.18720037
87,861.56,844.335,827.595,836.262,842.438,14.46498206
87.5,861.728,844.125,827.438,836.233,842.381,14.58811272
88,861.644,844.018,827.257,836.317,842.309,14.59714212
88.5,861.617,844.438,827.121,837.253,842.60725,14.52829622
89,861.502,845.619,827.028,838.022,843.04275,14.48057461
89.5,861.291,848.013,826.755,839.492,843.88775,14.52290764
90,861.186,848.219,826.725,841.133,844.31575,14.36900691
90.5,860.942,848.048,827.037,841.416,844.36075,14.11048701
91,860.708,848.189,828.147,841.943,844.74675,13.54035082
91.5,860.446,848.741,828.261,841.661,844.77725,13.4625229
92,860.28,849.416,828.385,841.563,844.911,13.4265777
92.5,860.011,849.863,828.914,841.544,845.083,13.16123938
93,859.98,849.668,829.572,841.354,845.1435,12.8766553
93.5,859.917,849.308,829.771,841.337,845.08325,12.73300227
94,859.768,849.022,830.414,841.238,845.1105,12.39792331
94.5,859.603,848.867,832.002,841.074,845.3865,11.71843631
95,859.916,848.509,832.31,840.875,845.4025,11.72182917
95.5,860.399,848.214,832.53,840.577,845.43,11.85725131
96,861.309,847.981,833.955,840.651,845.974,11.71865982
96.5,861.241,847.709,833.845,841.044,845.95975,11.6548737
97,860.973,847.448,833.612,841.816,845.96225,11.50724602
97.5,860.652,848.145,833.743,841.676,846.054,11.37543391
98,860.459,848.708,833.831,841.403,846.10025,11.3368531
98.5,860.961,848.512,834.221,841.281,846.24375,11.41516259
99,860.88,848.583,834.164,841.328,846.23875,11.39849058
99.5,860.8,848.698,834.086,841.734,846.3295,11.34353083
100,860.649,848.583,833.947,842.685,846.466,11.20506582
100.5,860.428,848.431,834.029,842.87,846.4395,11.05148625
101,861.025,848.36,834.091,843.069,846.63625,11.25634652
101.5,861.671,848.176,833.841,843.716,846.851,11.55387886
102,861.847,848.188,833.539,844.203,846.94425,11.70262151
102.5,861.63,847.912,833.496,844.554,846.898,11.59264077
