Time,R1,R2,R3,R4,Average,SD
130,469.065,472.298,471.038,472.617,471.2545,1.611012208
130.5,469.006,472.325,471.069,472.675,471.26875,1.658628022
131,468.951,472.355,471.073,472.562,471.23525,1.65913921
131.5,468.972,472.364,470.987,472.542,471.21625,1.649662263
132,468.95,472.378,470.95,472.445,471.18075,1.63923018
132.5,468.86,472.368,470.919,472.443,471.1475,1.678571714
133,468.807,472.389,470.924,472.742,471.2155,1.788215964
133.5,468.771,472.38,470.877,472.743,471.19275,1.805307799
134,468.862,472.372,470.855,472.758,471.21175,1.768772149
134.5,468.956,472.379,470.967,472.654,471.239,1.691931638
135,469.091,472.363,470.947,472.642,471.26075,1.625736833
135.5,469.118,472.342,470.967,472.625,471.263,1.602906319
136,469.11,472.379,470.91,472.645,471.261,1.624333915
136.5,469.035,472.294,470.945,472.63,471.226,1.632103142
137,469.033,472.326,470.879,472.567,471.20125,1.626395683
137.5,468.999,472.354,470.885,472.579,471.20425,1.650950307
138,468.94,472.327,470.888,472.528,471.17075,1.656827767
138.5,468.889,472.29,470.836,472.525,471.135,1.673324236
139,469.009,472.253,470.839,472.595,471.174,1.631250236
139.5,468.963,472.252,470.84,472.587,471.1605,1.649040226
140,468.965,472.255,470.836,472.557,471.15325,1.640472772
140.5,469.025,472.248,470.854,472.69,471.20425,1.650118455
141,468.983,472.276,470.958,472.649,471.2165,1.656295163
141.5,470.844,472.328,470.913,472.64,471.68125,0.936070288
142,470.816,472.43,470.885,472.641,471.693,0.977047594
142.5,470.853,472.536,470.898,472.746,471.75825,1.023075877
143,470.887,472.653,470.918,472.798,471.814,1.054248864
143.5,470.798,472.692,470.793,472.834,471.77925,1.137416774
144,470.79,472.771,470.798,472.961,471.83,1.198786331
144.5,470.827,472.777,470.82,472.918,471.8355,1.16997735
145,470.796,472.873,470.737,472.941,471.83675,1.236364664
145.5,470.812,473.012,470.598,472.973,471.84875,1.323671
146,470.851,473.04,470.589,472.9,471.845,1.30468668
146.5,470.856,473.053,470.616,472.89,471.85375,1.2960896
147,470.997,473.014,470.593,472.856,471.865,1.248157308
147.5,470.887,472.984,470.541,472.76,471.793,1.257233736
